,Topic,Word,P
0,0,article,0.022070154547691345
1,0,page,0.018556660041213036
2,0,suck,0.014540157280862331
3,0,delete,0.013228514231741428
4,0,add,0.013206222094595432
5,0,wikipedia,0.009869718924164772
6,0,talk,0.006865974050015211
7,0,deletion,0.006823226343840361
8,0,speedy_deletion,0.0066629257053136826
9,0,note,0.0062821428291499615
10,1,image,0.01605408452451229
11,1,copyright,0.009160001762211323
12,1,fair,0.008966866880655289
13,1,page,0.008098323829472065
14,1,people,0.0077588316053152084
15,1,know,0.005512007046490908
16,1,article,0.0054731848649680614
17,1,time,0.005095385015010834
18,1,upload,0.004987355787307024
19,1,think,0.004909131675958633
20,2,nigger,0.017387425526976585
21,2,say,0.010042554698884487
22,2,man,0.0071112290024757385
23,2,also,0.007072091568261385
24,2,article,0.006389738060534
25,2,group,0.0047218394465744495
26,2,claim,0.004338310100138187
27,2,first,0.00425603985786438
28,2,know,0.004220142494887114
29,2,woman,0.003989195451140404
30,3,article,0.025502139702439308
31,3,make,0.010276678018271923
32,3,know,0.008478254079818726
33,3,think,0.008153103291988373
34,3,edit,0.007947702892124653
35,3,say,0.007846659980714321
36,3,page,0.0069703608751297
37,3,good,0.006120021920651197
38,3,change,0.00611965311691165
39,3,editor,0.005711022764444351
40,4,movie,0.007396285887807608
41,4,article,0.005338615737855434
42,4,city,0.005333226174116135
43,4,science,0.004352890886366367
44,4,see,0.004046425223350525
45,4,specie,0.004044678062200546
46,4,pay,0.004022049717605114
47,4,give,0.003979146480560303
48,4,good,0.003958962392061949
49,4,kick,0.00395861454308033
50,5,article,0.02161911316215992
51,5,think,0.012259157374501228
52,5,source,0.012068290263414383
53,5,go,0.010434959083795547
54,5,see,0.010251144878566265
55,5,page,0.007899951189756393
56,5,work,0.007858222350478172
57,5,add,0.007710771635174751
58,5,make,0.007142809219658375
59,5,remove,0.007100248709321022
60,6,fuck,0.03329817205667496
61,6,edit,0.019469354301691055
62,6,shit,0.015711868181824684
63,6,get,0.013356436975300312
64,6,block,0.012382732704281807
65,6,make,0.011860784143209457
66,6,wikipedia,0.010556058026850224
67,6,stop,0.00990968942642212
68,6,go,0.008855157531797886
69,6,revert,0.008830946870148182
70,7,country,0.005867696367204189
71,7,anal,0.005780523177236319
72,7,position,0.005625829566270113
73,7,article,0.004585667047649622
74,7,australian,0.004457317758351564
75,7,national,0.004456537310034037
76,7,sex_sex,0.004234660882502794
77,7,region,0.004138773772865534
78,7,english,0.00406968779861927
79,7,also,0.0038715959526598454
80,8,redirect,0.010843292810022831
81,8,black,0.010770273394882679
82,8,church,0.007813578471541405
83,8,india,0.007385692559182644
84,8,game,0.006200419273227453
85,8,cunt,0.005758615676313639
86,8,nigga,0.005733211990445852
87,8,people,0.004926444962620735
88,8,submission,0.004585634917020798
89,8,royal,0.004207389894872904
90,9,page,0.03443039953708649
91,9,wikipedia,0.032268475741147995
92,9,article,0.02203971892595291
93,9,talk,0.015660980716347694
94,9,name,0.015210066922008991
95,9,edit,0.014827272854745388
96,9,help,0.012469195760786533
97,9,thank,0.010756905190646648
98,9,ask,0.009344706311821938
99,9,question,0.008873979561030865
