,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,5.0,0.7678367495536804,"article, page, wikipedia, use, thank, edit, talk, add, help, link",thanks clean wp wa issue
1,1,2.0,0.9557577967643738,"people, say, article, wikipedia, think, know, see, position, really, make",people keen act upon whim put spoiler rather sad imagine want information tell character kill mean point people ruin others certain editor chip shoulder chance watch programme concern allow advise soap article lock important storyline upcoming people want dig future websites wikipedia become regurgitate form digital spy pathetic
2,2,2.0,0.4511346220970154,"people, say, article, wikipedia, think, know, see, position, really, make",artist fake person shallow heartless quick turn others choose believe people friend help support say artist lot commission artist turn chose rude crude twat commission artist probably get black list spending much art choose believe another person lie beware frenemy
3,3,0.0,0.8356170654296875,"article, source, section, say, mention, think, know, make, go, thing",come talk page hey bb come talk page redrafted suggestion early life aspect asma alassad confusion rectify know write early life slightly sloppy let know think go let apply change necessary
4,4,0.0,0.891171932220459,"article, source, section, say, mention, think, know, make, go, thing",bombay rum heard several people talk bombay rum apparently india can not find even much reference web exist call something else
5,5,5.0,0.5662469267845154,"article, page, wikipedia, use, thank, edit, talk, add, help, link",secure digital hello welcome photo fake sd card add article peculiar exactly tell us identify avoid fake significance two fake unclear except make assertion get two presumably make newspaper editor page debated talksecure digital decide level detail counterfeit article contain see point add photo gallery
6,6,5.0,0.9362156391143799,"article, page, wikipedia, use, thank, edit, talk, add, help, link",welcome hello chintzyturtle welcome wikipedia thank hope like place decide stay unfortunately edit kevin abstract conform wikipedia neutral point view policy npov wikipedia article refer fact interpretation state print reputable website form medium page npov policy tip effectively write disparate point view without compromise npov status article whole stuck look help please come new contributor help page experienced wikipedians answer query ask help talk page volunteer respond shortly good link newcomer five pillar wikipedia contribute wikipedia edit page help page tutorial write great article simplify manual style hope enjoy edit wikipedian please sign name talk page use four tilde automatically produce name date question check wikipediawhere ask question ask welcome
7,7,4.0,0.5223723649978638,"article, know, say, australian, think, book, get, good, give, use",michael flaum nominate michael flaum deletion already wikipedia marshall flaum help trouble put template article page october utc
8,8,0.0,0.9040043950080872,"article, source, section, say, mention, think, know, make, go, thing",fangusu article digimon rury person group people bootleg game
9,9,5.0,0.40970274806022644,"article, page, wikipedia, use, thank, edit, talk, add, help, link",ping want prepare next year earth day p ive find slow hope mind direct editor editor contact
10,10,7.0,0.6904644966125488,"article, use, source, change, make, first, information, say, also, see",agree change
11,11,0.0,0.9371976852416992,"article, source, section, say, mention, think, know, make, go, thing",oh sure deliberate behalf record company ancient know annoy apparently either paloma record company thirties massive crime
12,12,8.0,0.9508692026138306,"name, think, article, arab, common, time, use, read, christian, card",ufo university universiteti ufo ufo university apparently still see billboard name tirana ufo coffeehouse place take name ufo stand become thanks
13,13,1.0,0.574804961681366,"nonsense, like, sandbox, use, experiment, consider_vandalism, also, county, add, article",please change background information panel wiseguy want someone think something disco dont music consist standard rockband instrumentation play style punk abrasiveness one would ever confuse disco matter opinion someone play dumb joke
14,14,0.0,0.9824423789978027,"article, source, section, say, mention, think, know, make, go, thing",quote article refer headland claim selwood say f last night prompt headland reply sixyearold daughter headland claim selwood say slut f last night headland physically respond wrestle selwood ground selwood attendance tribunal hearing melbourne deny swear headland say know tattoo daughter madisan also say comment make shit arm girl like night headland reply one talk family like obviously agree
15,15,3.0,0.4316098690032959,"article, page, edit, make, name, revert, category, talk, comment, remove",opera dictator hope break spirit resolve continue good fight image placement anywhere wikiworld benefit customer finish read disgust late february archive wikiprojectcomposers whatever obvious cabal nose pompously arch sky elsewhere even realize insult one best editor people wikipedia know aussie friend recently advise comp problem recently could assist recent ani realize gang terrorists go around vandalize hard work shame problem can not see way highbrow consider addition coin edits plus every article course along list wppickanacronym make sure work discredit hobby ok trivialize make wan na puke contact anything need assist return return must
16,16,12.0,0.9416014552116394,"comment, fuck, say, think, go, editor, article, know, time, even",usage share operate system poll talkusage share operate system consensus include median line might want comment
17,17,6.0,0.3803781569004059,"make, label, article, pa, give, change, see, want, get, new",psst wan na see another senseless driveby guy say refuse get point give audacity can not stand style humour swear rickles would tear shred nerve driveby bigbutt inner child get boot courtesy henley eagle place talk page sheesh strange talk page zap stuff long tell stay alert fly object come mine rant bite pointy newbie worn patience well could take heat point direction wpdttr make promise take ani repeatedly harrassing btw come new men black movie men black film can not wait hey maybe hear one like elvis three stooge die go home yup elvis leave building guy claim retire fifty buck say back pitch fork forget axe grind talk page nerve back wonder hid pitch fork bug find refuse get point go stir hornet nest find axe grinding want help rein get work see find late day alrighty forget fifty buck okay guy let us please stop push button thrill thread frankly neither
18,18,12.0,0.8800202012062073,"comment, fuck, say, think, go, editor, article, know, time, even",substanonwelcome utica also think get account ip address go jump around like anyway thanks help clean utica article appreciate removal citation madison square garden base utica thingy doubt designer madison square garden even hell heard utica fucken uticans claim invent airplane could get away
19,19,10.0,0.535712480545044,"suck, album, engine, bio, dick, ga_review, roman, slow, reorganization, chart",suck
20,20,6.0,0.6220710277557373,"make, label, article, pa, give, change, see, want, get, new",utc reportedly name village quorn leicestershire know mile marlow maybe get quaint rural image name supposedly carry uk guess sound like character star trek elsewhere july
21,21,12.0,0.7435393333435059,"comment, fuck, say, think, go, editor, article, know, time, even",disappoint rex answer stupid come back original username would welcome back even try get stay last time
22,22,5.0,0.2934820353984833,"article, page, wikipedia, use, thank, edit, talk, add, help, link",way get hotchkiss b wp everything write black white stereotype generalization man teach us thing bad grade school equally bad well display ignorance matter forgivable fact make ignorant person possibly narcissist
23,23,5.0,0.9786366820335388,"article, page, wikipedia, use, thank, edit, talk, add, help, link",delete anything carolmooredc move discussion around part part one section part another section try undo happen know look edit history page please delete anything unless carol move discussion around something happen would reason delete like sick tire edit article go back medieval article editor respect angry time talk page edit summarys history examine another editor
24,24,1.0,0.5176162123680115,"nonsense, like, sandbox, use, experiment, consider_vandalism, also, county, add, article",nth time subsection call controversial study health section link even genetically modify food controversy minority view state concerned view give equal weight please see wpweight wpmedsci discuss get close wpidht territory acknowledge existence section issue weight frustrate
25,25,7.0,0.9419386982917786,"article, use, source, change, make, first, information, say, also, see",truck include believe first person place article many source almost article discuss campaign comment truck
26,26,12.0,0.7268145680427551,"comment, fuck, say, think, go, editor, article, know, time, even",drawer full sock thanks correct sock note anon fran overuse dt right
27,27,7.0,0.7222607731819153,"article, use, source, change, make, first, information, say, also, see",specious reference global warming study establish correlation global temperature n fowleri infection rate misleading conjecture belies complex interaction fresh water ecosystems human immunology citation omit unless support fact
28,28,5.0,0.8670217990875244,"article, page, wikipedia, use, thank, edit, talk, add, help, link",tia norfleet article absolute fuck disgrace idea manage fly radar find article accident due random google search fake race driver
29,29,12.0,0.5367300510406494,"comment, fuck, say, think, go, editor, article, know, time, even",suggest stop call troll attack reply make think talk robot
30,30,7.0,0.803010880947113,"article, use, source, change, make, first, information, say, also, see",thanks truly insightful comment talk page agree punk would qualify poppunk however incline call poprock poppunk influence say know rant literally page capitalize b blink
31,31,5.0,0.9749025702476501,"article, page, wikipedia, use, thank, edit, talk, add, help, link",welcome hello welcome wikipedia thank hope like place decide stay page might find helpful five pillar wikipedia tutorial edit page write great article manual style hope enjoy edit wikipedian please sign message discussion page use four tilde automatically insert username date need help check wikipediaquestions ask ask question page place helpme question welcome
32,32,3.0,0.8848138451576233,"article, page, edit, make, name, revert, category, talk, comment, remove",spoiler tag right keep remove spoiler tag top plot section yes know plot implies spoilerz plenty mediarelated article would hurt one freak line problem
33,33,3.0,0.6768849492073059,"article, page, edit, make, name, revert, category, talk, comment, remove",woman top sex position photo photo like game pingpong since ip wait rfc close semi protect page month
34,34,2.0,0.9755436182022095,"people, say, article, wikipedia, think, know, see, position, really, make",offend offtopic grant family plan choose number child birth control intercourse without conception similar topic paragraph merely issue many child acceptable catholic since article nfp general relationship sexual act conception catholic seem like broad issue choose number child fall outside scope article
