,Topic,Word,P
0,0,suck,0.4752380847930908
1,0,nigger,0.12203095108270645
2,0,article,0.04036301001906395
3,0,cuntnlu,0.021311968564987183
4,0,xdicksx,0.009106223471462727
5,0,ballznigger,0.008519074879586697
6,0,widr,0.008353661745786667
7,0,seem,0.007401385810226202
8,0,good,0.0061897775158286095
9,0,redirect,0.005871915724128485
10,0,feature,0.005418162792921066
11,0,great,0.003795044030994177
12,0,debate,0.003670455887913704
13,0,deletion,0.0036704265512526035
14,0,write,0.003615674329921603
15,1,cunt,0.14036867022514343
16,1,smelly,0.011786921881139278
17,1,moist,0.011786289513111115
18,1,comment,0.008699286729097366
19,1,list,0.008683368563652039
20,1,thank,0.0056888991966843605
21,1,notability,0.005399192683398724
22,1,book,0.005129698198288679
23,1,decline,0.005110501777380705
24,1,byline,0.005098095629364252
25,1,blog,0.005035541485995054
26,1,unsubstantiated,0.004994760267436504
27,1,minor,0.004982619546353817
28,1,acknowledgment,0.0049202837981283665
29,1,exactly,0.004823875147849321
30,2,article,0.09513211995363235
31,2,section,0.011354675516486168
32,2,first,0.010888622142374516
33,2,topic,0.008439403958618641
34,2,viewpoint,0.008439157158136368
35,2,silly,0.008439108729362488
36,2,comment,0.008144955150783062
37,2,agree,0.0076212030835449696
38,2,subject,0.007428675889968872
39,2,claim,0.007412456441670656
40,2,look,0.007246694061905146
41,2,redirect,0.006366962566971779
42,2,never,0.006211481057107449
43,2,discussion,0.005992560647428036
44,2,delete,0.005810249596834183
45,3,cock,0.04549047350883484
46,3,hammersoft,0.045489709824323654
47,3,suck,0.04548907279968262
48,3,category,0.03803318366408348
49,3,cuntnlu,0.030152497813105583
50,3,userpage,0.02311793342232704
51,3,article,0.020412029698491096
52,3,change,0.01659211702644825
53,3,texas,0.015660177916288376
54,3,give,0.011867783032357693
55,3,albedo,0.011017566546797752
56,3,notice,0.008203207515180111
57,3,clean,0.008203137665987015
58,3,instead,0.008203007280826569
59,3,point,0.008202822878956795
60,4,article,0.03907547518610954
61,4,theory,0.014192169532179832
62,4,add,0.013929932378232479
63,4,decline,0.01193356141448021
64,4,link,0.011776107363402843
65,4,machine,0.010688494890928268
66,4,assembly,0.009859604761004448
67,4,fall,0.009325535967946053
68,4,use,0.009299308992922306
69,4,word,0.008540110662579536
70,4,note,0.008383789099752903
71,4,change,0.007962468080222607
72,4,belarusian,0.007745268288999796
73,4,interwiki,0.007335425820201635
74,4,moore,0.007238653488457203
75,5,article,0.06091911718249321
76,5,name,0.02101912721991539
77,5,ventura,0.015801874920725822
78,5,read,0.014821804128587246
79,5,link,0.0125064542517066
80,5,engine,0.011947228573262691
81,5,write,0.011842995882034302
82,5,barry,0.011646304279565811
83,5,also,0.011357389390468597
84,5,thank,0.010997194796800613
85,5,change,0.01013632770627737
86,5,add,0.008758685551583767
87,5,kasparov,0.00862086471170187
88,5,make,0.008114796131849289
89,5,silly,0.00809329841285944
90,6,vandalizer,0.4718247652053833
91,6,cuntnlu,0.3807869255542755
92,6,nlu,0.005115768406540155
93,6,article,0.004119285847991705
94,6,cunt,0.004078770987689495
95,6,belarusian,0.0019323776941746473
96,6,jem,0.0016708209877833724
97,6,assembly,0.0015506871277466416
98,6,link,0.0014736478915438056
99,6,nazist,0.00142606720328331
100,6,capital,0.0014128308976069093
101,6,new,0.0013991654850542545
102,6,lithuanian,0.0013543013483285904
103,6,city,0.0013378103030845523
104,6,note,0.0012804584112018347
105,7,article,0.08509977906942368
106,7,theory,0.02297634445130825
107,7,write,0.018522609025239944
108,7,conspiracy,0.015564244240522385
109,7,consensus,0.010031182318925858
110,7,ask,0.008153168484568596
111,7,actively,0.008153114467859268
112,7,unite,0.008153046481311321
113,7,proposal,0.008153039030730724
114,7,appear,0.008153012953698635
115,7,defend,0.008153004571795464
116,7,wikipedia,0.008152996189892292
117,7,subcategory,0.008152968250215054
118,7,state,0.008152967318892479
119,7,look,0.008152966387569904
120,8,article,0.05838776379823685
121,8,use,0.02009105123579502
122,8,see,0.015463248826563358
123,8,compton,0.013408207334578037
124,8,give,0.012983444146811962
125,8,title,0.012794825248420238
126,8,diacritic,0.010289798490703106
127,8,new,0.009924862533807755
128,8,come,0.009849284775555134
129,8,discussion,0.009238234721124172
130,8,make,0.009091067127883434
131,8,tone,0.00908302329480648
132,8,redshift,0.009082939475774765
133,8,misname,0.009082745760679245
134,8,term,0.009082221426069736
135,9,suck,0.7826148271560669
136,9,nigger,0.09013127535581589
137,9,article,0.005832522641867399
138,9,ballznigger,0.003845727536827326
139,9,nat,0.0027558731380850077
140,9,widr,0.0021518340799957514
141,9,source,0.0019317253027111292
142,9,burmese,0.0018669943092390895
143,9,murder,0.0018668104894459248
144,9,xdicksx,0.001769206253811717
145,9,call,0.0015198495239019394
146,9,title,0.0011388638522475958
147,9,fix,0.0010943972738459706
148,9,keep,0.0010051566641777754
149,9,widely,0.0009779600659385324
