,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",595.0,0.0786
1.0,2.0,"fuck, nigga, get, idiot, think, mass, say, year, do, really",578.0,0.0764
2.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",441.0,0.0583
3.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",2575.0,0.3402
4.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",446.0,0.0589
5.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",1393.0,0.1841
6.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",778.0,0.1028
7.0,1.0,"ball, thank, redirect, cucks_cuck, make, say, poop, get, go, lol",762.0,0.1007
8.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
9.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
10.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
11.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
12.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
13.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
14.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
15.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
16.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
17.0,7.0,"fuck, shit, go, penis, say, cunt, get, care, block, try",,
18.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
19.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
20.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
21.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
22.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
23.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
24.0,2.0,"fuck, nigga, get, idiot, think, mass, say, year, do, really",,
25.0,3.0,"edit, page, wikipedia, make, article, source, think, get, see, use",,
26.0,0.0,"see, test, call, thank, make, think, dick, good, film, pay",,
27.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
28.0,4.0,"gay, sex_sex, use, go, think, porn, anal, give, edit, make",,
29.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
30.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
31.0,5.0,"say, think, see, make, get, page, article, discussion, go, man",,
32.0,6.0,"image, page, use, delete, tag, thank, copyright, list, see, talk",,
